,OPR Job Code,OPR Job Title,OPR Job Rating,OPR Field Code,OPR Field Title,OPR Field Rating,ONET SOC 2018 Code,ONET SOC 2018 Title,ONET SOC 2010 Code,ONET SOC 2010 Title,Census Code 1980,Census Title 1980,GSS Ratings 1989,Census Code 2010,Census Titles 2010,GSS Ratings 2012,Prestige_Score
55,148,"Umpire, Referee, and/or Other Sports Official",0.47977422389463786,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2023,"Umpires, Referees, and Other Sports Officials",27-2023.00,"Umpires, Referees, and Other Sports Officials",37.0,"Management Related Occupations, n.e.c.",0.4610942688032337,,,0.4552596159314514,0.548481801271337
56,149,Writer,0.7458674909286387,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,,,,,183.0,Authors,0.667965930417208,,,0.4552596159314514,0.6800276967850308
57,150,Other - Artist,0.4996640236527349,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1019,"Artists and Related Workers, All Other",27-1019.00,"Artists and Related Workers, All Other",194.0,"Artists, Performers, and Related Workers, n.e.c.",0.270968673307348,2600.0,Artists and related workers,0.48681541582150095,0.5132285023028046
58,151,Other - Creative Writer,0.5820454240021503,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,,,,,183.0,Authors,0.667965930417208,,,0.4552596159314514,0.6308810767070843
59,152,Other - Designer,0.610133046633517,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-1029,"Designers, All Other",27-1029.00,"Designers, All Other",185.0,Designers,0.429478850873394,2630.0,Designers,0.4929006085192698,0.5872137921281045
60,153,Other - Entertainer and/or Performer,0.735519419432872,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2091,"Disc Jockeys, Except Radio",27-2099.00,"Entertainers and Performers, Sports and Related Workers,…",194.0,"Artists, Performers, and Related Workers, n.e.c.",0.270968673307348,2760.0,"Entertainers and performers, sports and related workers, all other",0.060851926977687654,0.4987924232680831
61,153,Other - Entertainer and/or Performer,0.735519419432872,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-2099,"Entertainers and Performers, Sports and Related Workers,…",27-2099.00,"Entertainers and Performers, Sports and Related Workers,…",194.0,"Artists, Performers, and Related Workers, n.e.c.",0.270968673307348,2760.0,,0.4552596159314514,0.5776739610588358
62,154,Other - Media Related Worker,0.5585270796935896,100.0,ArtsDesignEntnSportsMedia,0.7928961748633878,27-3099,"Media and Communication Workers, All Other",27-3099.00,"Media and Communication Workers, All Other",228.0,Broadcast Equipment Operators,0.3760646744622491,2860.0,Miscellaneous media and communication workers,0.6490872210953345,0.589615780458553
63,201,Janitor and/or Cleaner (except Maid and/or Housekeeping Cleaner),0.12256417148232768,200.0,BldgGroundsCleaningMntnce,0.0,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cle…",37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cle…",453.0,Janitors and Cleaners,0.08012126461671715,,,0.4552596159314514,0.14785149078516788
64,202,Landscaping and/or Groundskeeping Worker,0.20225776105362187,200.0,BldgGroundsCleaningMntnce,0.0,37-3011,Landscaping and Groundskeeping Workers,37-3011.00,Landscaping and Groundskeeping Workers,486.0,"Groundskeepers and Gardeners, Except Farm",0.17020355132091813,,,0.4552596159314514,0.19428013933260638
65,203,Maid and/or Housekeeping Cleaner,0.10966267974734578,200.0,BldgGroundsCleaningMntnce,0.0,37-2012,Maids and Housekeeping Cleaners,37-2012.00,Maids and Housekeeping Cleaners,449.0,Maids and Housemen,0.04720658293633606,4230.0,Maids and housekeeping cleaners,0.15618661257606486,0.07593777217350073
66,204,Pest Control Worker,0.24916005913183714,200.0,BldgGroundsCleaningMntnce,0.0,37-2021,Pest Control Workers,37-2021.00,Pest Control Workers,455.0,Pest Control Occupations,0.22462826620470627,4240.0,Pest control workers,0.3245436105476673,0.1958138064002612
67,205,"Pesticide Handler, Sprayer, and/or Applicator",0.23115172691842495,200.0,BldgGroundsCleaningMntnce,0.0,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetatio…",37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetatio…",486.0,"Groundskeepers and Gardeners, Except Farm",0.17020355132091813,,,0.4552596159314514,0.2029483290920473
68,206,Supervisor/Manager of Housekeeping and Janitorial Workers,0.3043945706222282,200.0,BldgGroundsCleaningMntnce,0.0,37-1011,First-Line Supervisors of Housekeeping and Janitorial Wo…,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Wo…,448.0,"Supervisors, Cleaning and Building Service Workers",0.2719792117799913,4200.0,First-line supervisors of housekeeping and janitorial workers,0.3448275862068965,0.2282786913730456
69,207,"Supervisor/Manager of Landscaping, Lawn Service, and Groundskeeping Workers",0.3988711194731891,200.0,BldgGroundsCleaningMntnce,0.0,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and…",37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and…",485.0,"Supervisors, Related Agricultural Occupations",0.2789086184495453,4210.0,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",0.3245436105476673,0.2542972125638765
70,208,Tree Trimmer and/or Pruner,0.23679612955247947,200.0,BldgGroundsCleaningMntnce,0.0,37-3013,Tree Trimmers and Pruners,37-3013.00,Tree Trimmers and Pruners,486.0,"Groundskeepers and Gardeners, Except Farm",0.17020355132091813,,,0.4552596159314514,0.2046416498822637
71,209,Other - Building Cleaning Worker,0.09178873807283966,200.0,BldgGroundsCleaningMntnce,0.0,37-2019,"Building Cleaning Workers, All Other",37-2019.00,"Building Cleaning Workers, All Other",453.0,Janitors and Cleaners,0.08012126461671715,4220.0,Janitors and building cleaners,0.1419878296146045,0.07596450349895209
72,210,Other - Grounds Maintenance Worker,0.18505577207364604,200.0,BldgGroundsCleaningMntnce,0.0,37-3019,"Grounds Maintenance Workers, All Other",37-3019.00,"Grounds Maintenance Workers, All Other",486.0,"Groundskeepers and Gardeners, Except Farm",0.17020355132091813,4250.0,Grounds maintenance workers,0.3448275862068965,0.16703313669370265
73,301,Accountant,0.6488375218384627,300.0,BusinFinanOperations,0.7810564663023678,13-2011,Accountants and Auditors,13-2011.01,Accountants,23.0,Accountants and Auditors,0.7016024252923343,,,0.4552596159314514,0.6563679026365046
74,"301,304",,0.5203737630114987,,,0.5968312712076074,13-2011,Accountants and Auditors,13-2011.00,Accountants and Auditors,,,0.46221565715935575,800.0,Accountants and auditors,0.6896551724137929,0.558804895477949
75,302,"Agent and/or Business Manager of Artists, Performers, and Athletes",0.6872732159655961,300.0,BusinFinanOperations,0.7810564663023678,13-1011,"Agents and Business Managers of Artists, Performers, and…",13-1011.00,"Agents and Business Managers of Artists, Performers, and…",34.0,Business and Promotion Agents,0.5002165439584235,500.0,"Agents and business managers of artists, performers, and athletes",0.4665314401622717,0.619806505387331
76,303,Appraiser and/or Assessor,0.5245262733503562,300.0,BusinFinanOperations,0.7810564663023678,13-2022,Appraisers of Personal and Business Property,13-2021.00,Appraisers and Assessors of Real Estate,254.0,Real Estate Sales Occupations,0.46253789519272415,810.0,Appraisers and assessors of real estate,0.6288032454361054,0.5940171214661009
77,303,Appraiser and/or Assessor,0.5245262733503562,300.0,BusinFinanOperations,0.7810564663023678,13-2023,Appraisers and Assessors of Real Estate,13-2021.00,Appraisers and Assessors of Real Estate,254.0,Real Estate Sales Occupations,0.46253789519272415,810.0,,0.4552596159314514,0.5593083955651701
78,303,Appraiser and/or Assessor,0.5245262733503562,300.0,BusinFinanOperations,0.7810564663023678,13-2022,Appraisers of Personal and Business Property,13-2021.01,Assessors,254.0,Real Estate Sales Occupations,0.46253789519272415,,,0.4552596159314514,0.5593083955651701
79,303,Appraiser and/or Assessor,0.5245262733503562,300.0,BusinFinanOperations,0.7810564663023678,13-2023,Appraisers and Assessors of Real Estate,13-2021.02,"Appraisers, Real Estate",254.0,Real Estate Sales Occupations,0.46253789519272415,,,0.4552596159314514,0.5593083955651701
80,304,Auditor,0.6121489047171079,300.0,BusinFinanOperations,0.7810564663023678,13-2011,Accountants and Auditors,13-2011.02,Auditors,23.0,Accountants and Auditors,0.7016024252923343,,,0.4552596159314514,0.6453613175000983
81,305,Budget Analyst,0.5981722886708776,300.0,BusinFinanOperations,0.7810564663023678,13-2031,Budget Analysts,13-2031.00,Budget Analysts,40.0,Professional Specialty Occupations ,0.6871661613974303,820.0,Budget analysts,0.5780933062880325,0.6621260047838193
82,306,Business Continuity Planner,0.6579760784840748,300.0,BusinFinanOperations,0.7810564663023678,13-1199,"Business Operations Specialists, All Other",13-1199.04,Business Continuity Planners,40.0,Professional Specialty Occupations ,0.6871661613974303,,,0.4552596159314514,0.6555004036564622
83,307,Business Operations Specialist,0.5776105362182502,300.0,BusinFinanOperations,0.7810564663023678,13-1082,Project Management Specialists,13-1199.00,"Business Operations Specialists, All Other",40.0,Professional Specialty Occupations ,0.6871661613974303,740.0,"Business operations specialists, all other",0.2636916835699797,0.5930771545044204
